PID,Name,TID,ODK
1,Matt Barkley,1,O
2,Blaine Gabbert,1,O
3,Drew Stanton,1,O
4,D.J. Foster,1,O
5,Bronson Hill,1,O
6,Elijhaa Penny,1,O
7,Kerwynn Williams,1,O
8,Jaron Brown,1,O
9,John Brown,1,O
10,Larry Fitzgerald,1,O
11,J.J. Nelson,1,O
12,Chad Williams,1,O
13,Jermaine Gresham,1,O
14,Troy Niklas,1,O
15,Ricky Seals-Jones,1,O
16,Gabe Holmes,1,O
17,Khalif Barnes,1,O
18,Evan Boehm,1,O
19,Alex Boone,1,O
20,Will Holden,1,O
21,Vinston Painter,1,O
22,A.Q. Shipley,1,O
23,Max Tuerk,1,O
24,Earl Watford,1,O
25,John Wetzel,1,O
26,Rodney Gunter,1,D
27,Josh Mauro,1,D
28,Robert Nkemdiche,1,D
29,Corey Peters,1,D
30,Olsen Pierre,1,D
31,Frostee Rucker,1,D
32,Xavier Williams,1,D
33,Byrson Albright,1,D
34,Deone Buccanon,1,D
35,Josh Bynes,1,D
36,Karlos Dansby,1,D
37,Chandler Jones,1,D
38,Gabe Martin,1,D
39,Kareem Martin,1,D
40,Haason Reddick,1,D
41,Edmond Robinson,1,D
42,Scooby Wright,1,D
43,Budda Baker,1,D
44,Justin Bethel,1,D
45,C.J. Goodwin,1,D
46,Tyrann Matieu,1,D
47,Harlan Miller,1,D
48,Patrick Peterson,1,D
49,Brandon Williams,1,D
50,Tramon Williams,1,D
51,Aaron Brewer,1,K
52,Phil Dawson,1,K
53,Andy Lee,1,K
54,Matt Ryan,2,O
55,Matt Schuab,2,O
56,Devonta Freeman,2,O
57,Tevin Coleman,2,O
58,Brian Hill,2,O
59,Derrick Coleman,2,O
60,Julio Jones,2,O
61,Mohamed Sanu,2,O
62,Taylor Gabriel,2,O
63,Justin Hardy,2,O
64,Andrew Roberts,2,O
65,Nick Williams,2,O
66,Austin Hooper,2,O
67,Levin Toilolo,2,O
68,Eric Saubert,2,O
69,Jake Matthes,2,O
70,Andy Levitre,2,O
71,Alex Mack,2,O
72,Wes Schweitzer,2,O
73,Ryan Schraeder,2,O
74,Austin Pasztor,2,O
75,Ben Garland,2,O
76,Ty Sambrailo,2,O
77,Sean Harlow,2,O
78,Vic Beasley,2,D
79,Takkarist McKinley,2,D
80,Broos Reed,2,D
81,Adiran Clayborn,2,D
82,Jack Crawford,2,D
83,Derrick Shelby,2,D
84,Courtney Upshaw,2,D
85,Grady Jarrett,2,D
86,Dontari Poe,2,D
87,Deion Jones,2,D
88,Duke Riley,2,D
89,De’Vondre Campbell,2,D
90,Jermaine Grace,2,D
91,LaRoy Reynolds,2,D
92,Desmond Trufant,2,D
93,Robert Alford,2,D
94,Brian Poole,2,D
95,C.J. Goodwin,2,D
96,Blidi Wreh-Wilson,2,D
97,Deji Olatoye,2,D
98,Keanu Neal,2,D
99,Sharrod Neasman,2,D
100,Kemal Ishmael,2,D
101,Ricardo Allen,2,D
102,Damontae Kazee,2,D
103,Matt Bryant,2,K
104,Matt Bosher,2,K
105,Josh Harris,2,K
106,Joe Flacco,3,O
107,Ryan Mallett,3,O
108,Javorius Allen,3,O
109,Alex Collins,3,O
110,Patrick Ricard,3,O
111,Terrance West,3,O
112,Danny Woodhead,3,O
113,Quincy Adeboyeja,3,O
114,Michael Campanaro,3,O
115,Jeremy Maclin,3,O
116,Chris Moore,3,O
117,Breshad Perriman,3,O
118,Mike Wallace,3,O
119,Nick Boyle,3,O
120,Vince Mayle,3,O
121,Benjamin Watson,3,O
122,Maxx Williams,3,O
123,Luke Bowanko,3,O
124,Andrew Donnal,3,O
125,Jermaine Eluemunor,3,O
126,Austin Howard,3,O
127,James Hurst,3,O
128,Ryan Jensen,3,O
129,Maurquice Shakir,3,O
130,Matt Skura,3,O
131,Ronnie Stanley,3,O
132,Carl Davis,3,D
133,Willie Henry,3,D
134,Bronson Kaufusi,3,D
135,Michael Pierce,3,D
136,Brandon Williams,3,D
137,Chris Wormley,3,D
138,Tyus Bowser,3,D
139,Kamalei Corrrea,3,D
140,Steven Johnson,3,D
141,Matt Judon,3,D
142,C.J. Mosley,3,D
143,Patrick Onwuasor,3,D
144,ZaDarius,3,D
145,Terrell Suggs,3,D
146,Tim Williams,3,D
147,Maurice Canady,3,D
148,Brandon Carr,3,D
149,Chuck Clark,3,D
150,Marlon Humphrey,3,D
151,Stanley Jean-Baptiste,3,D
152,Tony Jefferson,3,D
153,Anthony Levine,3,D
154,Laradrius Webb,3,D
155,Eric Weddle,3,D
156,Morgan Cox,3,K
157,Sam Koch,3,K
158,Justin Tucker,3,K
159,Nathan Peterman,4,O
160,Tyrod Taylor,4,O
161,LesSean McCoy,4,O
162,Patrick DiMarco,4,O
163,Deonte Thompson,4,O
164,Brandon Tate,4,O
165,Jordan Matthews,4,O
166,Zay Jones,4,O
167,Andre Holmes,4,O
168,Kelvin Benjamin,4,O
169,Logan Thomas,4,O
170,Nick OLeary,4,O
171,Charles Clay,4,O
172,Dion Dawkins,4,O
173,Richie Incognito,4,O
174,Eric Wood,4,O
175,John Miller,4,O
176,Vlad Ducasse,4,O
177,Seantrel Henderson,4,O
178,Ryan Groy,4,O
179,Cordy Glenn,4,O
180,Eddie Yarbrough,4,D
181,Shaq Lawson,4,D
182,Jerry Hughes,4,D
183,Kyle Williams,4,D
184,Aldolphus Washington,4,D
185,Cedric Thronton,4,D
186,Marcell Dareus,4,D
187,Preston Brown,4,D
188,Matt Milano,4,D
189,Ramon Humber,4,D
190,Lorenzo Alexander,4,D
191,TreDavious White,4,D
192,Shareece Wright,4,D
193,E.J. Gaines,4,D
194,Micah Hyde,4,D
195,Jordan Poyer,4,D
196,Trae Elston,4,D
197,Leonard Johnson,4,D
198,Stephen Haushka,4,K
199,Colton Schmidt,4,K
200,Derrick Anderson,5,O
201,Garret Gilbet,5,O
202,Cam Newton,5,O
203,Alexander Armah,5,O
204,Cameron Artis-Payne,5,O
205,Christian McCaffery,5,O
206,Johnathan Stewart,5,O
207,Fozzy Whittaker,5,O
208,Brenton Bersin,5,O
209,Kaelin Clay,5,O
210,Mose Frazier,5,O
211,Devin Funchess,5,O
212,Russel Shepard,5,O
213,Greg Olson,5,O
214,Ed Dickson,5,O
215,Blaine Clausell,5,O
216,Matt Kalil,5,O
217,Ryan Kalil,5,O
218,Tyler Larsen,5,O
219,Taylor Molton,5,O
220,Andrew Norwell,5,O
221,Amini Silatolu,5,O
222,Trai Turner,5,O
